vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000638,CVE-2024-1638,APP038,Application-038,ASSET-000638,host-000638.corp.local,10.2.39.126,linux,Container,False,Medium,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Staging,us-east-1,2025-10-04,2025-10-29,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000638,2026-06-09
VULN-000688,CVE-2024-1688,APP038,Application-038,ASSET-000688,host-000688.corp.local,10.2.43.176,windows,Physical,False,Medium,Remediated,False,True,False,owner8@example.com,sysadmin8@example.com,HR,Staging,us-east-1,2026-05-13,2026-07-19,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000688,2026-06-18
VULN-000738,CVE-2024-1738,APP038,Application-038,ASSET-000738,host-000738.corp.local,10.2.46.226,windows,VM,False,High,Open,False,True,False,owner18@example.com,sysadmin8@example.com,Finance,Production,us-east-1,2026-05-11,2026-08-06,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000738,2026-06-03
VULN-000788,CVE-2024-1788,APP038,Application-038,ASSET-000788,host-000788.corp.local,10.3.49.20,linux,Container,True,Low,Remediated,True,False,True,owner8@example.com,sysadmin8@example.com,Marketing,Development,ap-south-1,2025-08-11,2025-08-28,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000788,2026-06-02
VULN-000838,CVE-2024-1838,APP038,Application-038,ASSET-000838,host-000838.corp.local,10.3.52.70,windows,VM,True,Critical,In Progress,True,False,True,owner18@example.com,sysadmin8@example.com,Marketing,Staging,us-east-1,2025-08-12,2025-11-10,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000838,2026-06-07
VULN-000888,CVE-2024-1888,APP038,Application-038,ASSET-000888,host-000888.corp.local,10.3.55.120,windows,Container,True,Critical,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Marketing,Staging,eu-west-1,2025-10-04,2025-11-08,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000888,2026-06-03
VULN-000938,CVE-2024-1938,APP038,Application-038,ASSET-000938,host-000938.corp.local,10.3.58.170,linux,Physical,False,Medium,Remediated,True,False,False,owner18@example.com,sysadmin8@example.com,Retail,Production,us-east-1,2025-09-03,2025-11-29,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000938,2026-06-13
VULN-000988,CVE-2024-1988,APP038,Application-038,ASSET-000988,host-000988.corp.local,10.3.61.220,aix,Container,False,Low,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Engineering,Production,us-east-1,2026-05-21,2026-06-02,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000988,2026-05-29
VULN-001038,CVE-2024-2038,APP038,Application-038,ASSET-001038,host-001038.corp.local,10.4.64.14,linux,Container,True,Medium,In Progress,True,False,False,owner18@example.com,sysadmin8@example.com,Marketing,Staging,ap-south-1,2025-06-25,2025-09-21,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-001038,2026-05-30
VULN-001088,CVE-2024-2088,APP038,Application-038,ASSET-001088,host-001088.corp.local,10.4.68.64,aix,VM,True,Medium,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Retail,Development,us-east-1,2025-10-07,2025-11-15,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-001088,2026-06-18
VULN-001138,CVE-2024-2138,APP038,Application-038,ASSET-001138,host-001138.corp.local,10.4.71.114,linux,VM,False,Medium,Open,True,False,True,owner18@example.com,sysadmin8@example.com,Retail,Production,us-east-1,2025-10-15,2025-11-22,False,Linux,RHEL 8,Sample finding for vulnerability VULN-001138,2026-06-13
VULN-001188,CVE-2024-2188,APP038,Application-038,ASSET-001188,host-001188.corp.local,10.4.74.164,windows,Physical,False,Medium,Remediated,True,False,False,owner8@example.com,sysadmin8@example.com,HR,Development,us-west-2,2025-07-31,2025-09-08,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-001188,2026-06-02
VULN-001238,CVE-2024-2238,APP038,Application-038,ASSET-001238,host-001238.corp.local,10.4.77.214,linux,Container,True,Critical,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Production,ap-south-1,2026-04-14,2026-05-05,False,Linux,RHEL 8,Sample finding for vulnerability VULN-001238,2026-06-15
VULN-001288,CVE-2024-2288,APP038,Application-038,ASSET-001288,host-001288.corp.local,10.5.80.8,linux,Container,False,Medium,Accepted Risk,True,False,False,owner8@example.com,sysadmin8@example.com,Retail,Development,us-east-1,2025-12-28,2026-02-15,False,Linux,RHEL 8,Sample finding for vulnerability VULN-001288,2026-06-04
VULN-001338,CVE-2024-2338,APP038,Application-038,ASSET-001338,host-001338.corp.local,10.5.83.58,linux,Physical,False,Medium,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Finance,Staging,ap-south-1,2025-08-20,2025-09-21,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-001338,2026-06-10
VULN-001388,CVE-2024-2388,APP038,Application-038,ASSET-001388,host-001388.corp.local,10.5.86.108,windows,VM,False,Medium,Accepted Risk,True,False,True,owner8@example.com,sysadmin8@example.com,Engineering,Staging,eu-west-1,2026-03-17,2026-05-21,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-001388,2026-06-15
VULN-001438,CVE-2024-2438,APP038,Application-038,ASSET-001438,host-001438.corp.local,10.5.89.158,windows,VM,False,High,In Progress,False,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Staging,us-west-2,2026-04-30,2026-07-02,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-001438,2026-06-06
VULN-001488,CVE-2024-2488,APP038,Application-038,ASSET-001488,host-001488.corp.local,10.5.93.208,linux,Container,False,Medium,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Finance,Production,us-east-1,2025-12-27,2026-01-09,True,Linux,RHEL 8,Sample finding for vulnerability VULN-001488,2026-06-22
VULN-001538,CVE-2024-2538,APP038,Application-038,ASSET-001538,host-001538.corp.local,10.6.96.2,windows,VM,False,Medium,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Retail,Production,ap-south-1,2026-05-10,2026-05-30,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-001538,2026-06-21
VULN-001588,CVE-2024-2588,APP038,Application-038,ASSET-001588,host-001588.corp.local,10.6.99.52,windows,Physical,False,Medium,Remediated,True,False,False,owner8@example.com,sysadmin8@example.com,Finance,Production,ap-south-1,2026-02-04,2026-03-20,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-001588,2026-06-04
VULN-001638,CVE-2024-2638,APP038,Application-038,ASSET-001638,host-001638.corp.local,10.6.102.102,linux,Physical,True,Medium,In Progress,False,False,False,owner18@example.com,sysadmin8@example.com,HR,Staging,us-east-1,2026-04-21,2026-07-07,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-001638,2026-06-18
VULN-001688,CVE-2024-2688,APP038,Application-038,ASSET-001688,host-001688.corp.local,10.6.105.152,solaris,Container,False,Medium,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Retail,Staging,ap-south-1,2025-12-30,2026-03-11,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-001688,2026-05-31
VULN-001738,CVE-2024-2738,APP038,Application-038,ASSET-001738,host-001738.corp.local,10.6.108.202,linux,Physical,False,Medium,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Retail,Development,us-west-2,2026-03-04,2026-03-23,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-001738,2026-06-03
VULN-001788,CVE-2024-2788,APP038,Application-038,ASSET-001788,host-001788.corp.local,10.6.111.252,windows,VM,True,High,Open,True,False,False,owner8@example.com,sysadmin8@example.com,Engineering,Development,eu-west-1,2026-04-18,2026-05-29,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-001788,2026-06-19
VULN-001838,CVE-2024-2838,APP038,Application-038,ASSET-001838,host-001838.corp.local,10.7.114.46,windows,Container,False,High,Remediated,False,False,False,owner18@example.com,sysadmin8@example.com,HR,Development,us-east-1,2026-06-23,2026-09-13,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-001838,2026-06-09
VULN-001888,CVE-2024-2888,APP038,Application-038,ASSET-001888,host-001888.corp.local,10.7.118.96,windows,Container,True,Medium,Remediated,True,False,False,owner8@example.com,sysadmin8@example.com,HR,Staging,us-west-2,2026-02-19,2026-04-11,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-001888,2026-06-20
VULN-001938,CVE-2024-2938,APP038,Application-038,ASSET-001938,host-001938.corp.local,10.7.121.146,windows,Container,False,High,Accepted Risk,False,False,True,owner18@example.com,sysadmin8@example.com,Marketing,Development,us-west-2,2026-05-24,2026-07-27,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-001938,2026-06-08
VULN-001988,CVE-2024-2988,APP038,Application-038,ASSET-001988,host-001988.corp.local,10.7.124.196,windows,Container,True,Critical,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Finance,Development,eu-west-1,2025-11-11,2026-01-28,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-001988,2026-06-21
VULN-002038,CVE-2024-3038,APP038,Application-038,ASSET-002038,host-002038.corp.local,10.7.127.246,solaris,Physical,False,Medium,In Progress,True,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Production,eu-west-1,2025-11-24,2026-01-22,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-002038,2026-05-26
VULN-002088,CVE-2024-3088,APP038,Application-038,ASSET-002088,host-002088.corp.local,10.8.130.40,windows,VM,False,Medium,Open,True,False,False,owner8@example.com,sysadmin8@example.com,Retail,Staging,us-west-2,2025-11-16,2026-01-13,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-002088,2026-06-19
VULN-002138,CVE-2024-3138,APP038,Application-038,ASSET-002138,host-002138.corp.local,10.8.133.90,aix,Container,False,Critical,Open,False,False,True,owner18@example.com,sysadmin8@example.com,HR,Development,us-west-2,2026-04-18,2026-07-11,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-002138,2026-06-24
VULN-002188,CVE-2024-3188,APP038,Application-038,ASSET-002188,host-002188.corp.local,10.8.136.140,linux,Physical,False,Critical,Remediated,True,False,False,owner8@example.com,sysadmin8@example.com,HR,Development,eu-west-1,2026-02-03,2026-03-08,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-002188,2026-06-05
VULN-002238,CVE-2024-3238,APP038,Application-038,ASSET-002238,host-002238.corp.local,10.8.139.190,windows,VM,True,High,Remediated,False,False,False,owner18@example.com,sysadmin8@example.com,Marketing,Staging,us-east-1,2026-06-14,2026-08-19,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-002238,2026-06-13
VULN-002288,CVE-2024-3288,APP038,Application-038,ASSET-002288,host-002288.corp.local,10.8.143.240,linux,Physical,False,Critical,Open,True,False,False,owner8@example.com,sysadmin8@example.com,HR,Staging,ap-south-1,2025-07-01,2025-09-18,True,Linux,RHEL 8,Sample finding for vulnerability VULN-002288,2026-06-06
VULN-002338,CVE-2024-3338,APP038,Application-038,ASSET-002338,host-002338.corp.local,10.9.146.34,linux,Container,False,Critical,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Marketing,Production,us-west-2,2026-01-30,2026-04-30,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-002338,2026-06-25
VULN-002388,CVE-2024-3388,APP038,Application-038,ASSET-002388,host-002388.corp.local,10.9.149.84,aix,Container,False,Medium,Remediated,True,False,False,owner8@example.com,sysadmin8@example.com,Retail,Development,ap-south-1,2025-11-19,2026-01-09,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-002388,2026-05-28
VULN-002438,CVE-2024-3438,APP038,Application-038,ASSET-002438,host-002438.corp.local,10.9.152.134,windows,Physical,True,High,Open,True,False,False,owner18@example.com,sysadmin8@example.com,HR,Staging,us-east-1,2025-08-12,2025-09-11,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-002438,2026-06-07
VULN-002488,CVE-2024-3488,APP038,Application-038,ASSET-002488,host-002488.corp.local,10.9.155.184,linux,Container,False,High,Accepted Risk,True,False,False,owner8@example.com,sysadmin8@example.com,HR,Production,us-east-1,2025-10-30,2026-01-24,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-002488,2026-06-04
VULN-002538,CVE-2024-3538,APP038,Application-038,ASSET-002538,host-002538.corp.local,10.9.158.234,solaris,Physical,False,Medium,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Finance,Staging,us-east-1,2025-08-25,2025-10-14,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-002538,2026-06-08
VULN-002588,CVE-2024-3588,APP038,Application-038,ASSET-002588,host-002588.corp.local,10.10.161.28,solaris,Physical,True,Medium,In Progress,True,True,False,owner8@example.com,sysadmin8@example.com,HR,Staging,eu-west-1,2026-01-21,2026-04-17,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-002588,2026-06-17
VULN-002638,CVE-2024-3638,APP038,Application-038,ASSET-002638,host-002638.corp.local,10.10.164.78,linux,Container,False,Critical,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Production,eu-west-1,2025-11-26,2026-02-03,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-002638,2026-06-22
VULN-002688,CVE-2024-3688,APP038,Application-038,ASSET-002688,host-002688.corp.local,10.10.168.128,aix,VM,True,High,Open,True,False,False,owner8@example.com,sysadmin8@example.com,Marketing,Development,us-east-1,2026-02-15,2026-03-11,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-002688,2026-06-14
VULN-002738,CVE-2024-3738,APP038,Application-038,ASSET-002738,host-002738.corp.local,10.10.171.178,windows,Physical,False,High,Open,False,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Development,us-east-1,2026-05-04,2026-08-02,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-002738,2026-05-29
VULN-002788,CVE-2024-3788,APP038,Application-038,ASSET-002788,host-002788.corp.local,10.10.174.228,solaris,Container,False,High,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Engineering,Production,ap-south-1,2026-02-01,2026-04-27,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-002788,2026-06-21
VULN-002838,CVE-2024-3838,APP038,Application-038,ASSET-002838,host-002838.corp.local,10.11.177.22,windows,Container,False,Critical,In Progress,True,False,True,owner18@example.com,sysadmin8@example.com,Retail,Development,us-west-2,2025-08-12,2025-10-19,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-002838,2026-06-11
VULN-002888,CVE-2024-3888,APP038,Application-038,ASSET-002888,host-002888.corp.local,10.11.180.72,solaris,Container,False,High,Open,True,True,False,owner8@example.com,sysadmin8@example.com,Finance,Staging,ap-south-1,2025-10-01,2025-12-05,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-002888,2026-06-06
VULN-002938,CVE-2024-3938,APP038,Application-038,ASSET-002938,host-002938.corp.local,10.11.183.122,windows,Physical,False,Medium,In Progress,True,True,False,owner18@example.com,sysadmin8@example.com,Marketing,Staging,eu-west-1,2026-05-17,2026-05-28,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-002938,2026-06-24
VULN-002988,CVE-2024-3988,APP038,Application-038,ASSET-002988,host-002988.corp.local,10.11.186.172,windows,Container,False,High,In Progress,False,False,False,owner8@example.com,sysadmin8@example.com,Finance,Development,us-west-2,2026-06-04,2026-06-25,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-002988,2026-06-23
VULN-003038,CVE-2024-4038,APP038,Application-038,ASSET-003038,host-003038.corp.local,10.11.189.222,windows,Physical,False,Medium,Remediated,True,False,True,owner18@example.com,sysadmin8@example.com,Engineering,Development,ap-south-1,2026-05-13,2026-06-14,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003038,2026-06-17
VULN-003088,CVE-2024-4088,APP038,Application-038,ASSET-003088,host-003088.corp.local,10.12.193.16,linux,VM,False,Medium,Open,True,False,False,owner8@example.com,sysadmin8@example.com,HR,Production,us-east-1,2025-12-13,2026-02-03,True,Linux,RHEL 8,Sample finding for vulnerability VULN-003088,2026-06-04
VULN-003138,CVE-2024-4138,APP038,Application-038,ASSET-003138,host-003138.corp.local,10.12.196.66,windows,VM,False,Low,Open,True,False,False,owner18@example.com,sysadmin8@example.com,HR,Production,us-east-1,2026-03-26,2026-04-20,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003138,2026-05-26
VULN-003188,CVE-2024-4188,APP038,Application-038,ASSET-003188,host-003188.corp.local,10.12.199.116,windows,VM,False,Medium,Open,True,True,True,owner8@example.com,sysadmin8@example.com,Finance,Production,us-west-2,2025-09-14,2025-10-26,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-003188,2026-06-15
VULN-003238,CVE-2024-4238,APP038,Application-038,ASSET-003238,host-003238.corp.local,10.12.202.166,linux,Container,False,High,Remediated,True,True,False,owner18@example.com,sysadmin8@example.com,HR,Development,eu-west-1,2026-02-10,2026-02-19,True,Linux,RHEL 8,Sample finding for vulnerability VULN-003238,2026-06-25
VULN-003288,CVE-2024-4288,APP038,Application-038,ASSET-003288,host-003288.corp.local,10.12.205.216,windows,Physical,True,Critical,Accepted Risk,True,False,False,owner8@example.com,sysadmin8@example.com,Marketing,Staging,eu-west-1,2025-08-28,2025-10-15,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003288,2026-06-09
VULN-003338,CVE-2024-4338,APP038,Application-038,ASSET-003338,host-003338.corp.local,10.13.208.10,aix,Container,False,Critical,Remediated,False,False,True,owner18@example.com,sysadmin8@example.com,Retail,Staging,eu-west-1,2026-05-06,2026-07-02,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-003338,2026-06-24
VULN-003388,CVE-2024-4388,APP038,Application-038,ASSET-003388,host-003388.corp.local,10.13.211.60,windows,Container,False,High,Open,True,False,True,owner8@example.com,sysadmin8@example.com,HR,Development,us-west-2,2026-05-06,2026-06-03,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003388,2026-05-27
VULN-003438,CVE-2024-4438,APP038,Application-038,ASSET-003438,host-003438.corp.local,10.13.214.110,solaris,VM,False,Medium,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Staging,us-east-1,2026-02-17,2026-04-20,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-003438,2026-06-08
VULN-003488,CVE-2024-4488,APP038,Application-038,ASSET-003488,host-003488.corp.local,10.13.218.160,linux,Container,False,Medium,Open,False,False,True,owner8@example.com,sysadmin8@example.com,Finance,Development,us-east-1,2026-05-13,2026-07-07,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-003488,2026-06-25
VULN-003538,CVE-2024-4538,APP038,Application-038,ASSET-003538,host-003538.corp.local,10.13.221.210,windows,Physical,False,High,Accepted Risk,False,False,False,owner18@example.com,sysadmin8@example.com,Retail,Development,us-west-2,2026-04-09,2026-07-04,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003538,2026-06-23
VULN-003588,CVE-2024-4588,APP038,Application-038,ASSET-003588,host-003588.corp.local,10.14.224.4,windows,Container,True,Medium,Open,True,True,False,owner8@example.com,sysadmin8@example.com,Engineering,Staging,eu-west-1,2026-02-03,2026-03-03,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-003588,2026-06-24
VULN-003638,CVE-2024-4638,APP038,Application-038,ASSET-003638,host-003638.corp.local,10.14.227.54,aix,Physical,False,Low,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Marketing,Production,ap-south-1,2025-10-18,2026-01-06,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-003638,2026-06-10
VULN-003688,CVE-2024-4688,APP038,Application-038,ASSET-003688,host-003688.corp.local,10.14.230.104,linux,Container,False,Critical,Open,True,True,False,owner8@example.com,sysadmin8@example.com,Finance,Production,ap-south-1,2025-07-01,2025-07-14,True,Linux,RHEL 8,Sample finding for vulnerability VULN-003688,2026-06-07
VULN-003738,CVE-2024-4738,APP038,Application-038,ASSET-003738,host-003738.corp.local,10.14.233.154,windows,VM,False,High,Remediated,True,False,False,owner18@example.com,sysadmin8@example.com,Retail,Staging,ap-south-1,2026-01-02,2026-01-26,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003738,2026-06-06
VULN-003788,CVE-2024-4788,APP038,Application-038,ASSET-003788,host-003788.corp.local,10.14.236.204,linux,Container,True,Medium,Accepted Risk,False,False,False,owner8@example.com,sysadmin8@example.com,Marketing,Staging,eu-west-1,2026-06-17,2026-08-15,True,Linux,RHEL 8,Sample finding for vulnerability VULN-003788,2026-06-11
VULN-003838,CVE-2024-4838,APP038,Application-038,ASSET-003838,host-003838.corp.local,10.14.239.254,linux,Container,True,Medium,In Progress,True,True,False,owner18@example.com,sysadmin8@example.com,Retail,Development,us-west-2,2025-07-06,2025-09-15,False,Linux,RHEL 8,Sample finding for vulnerability VULN-003838,2026-06-12
VULN-003888,CVE-2024-4888,APP038,Application-038,ASSET-003888,host-003888.corp.local,10.15.243.48,windows,VM,True,High,Accepted Risk,True,False,False,owner8@example.com,sysadmin8@example.com,Engineering,Production,us-east-1,2026-02-13,2026-04-26,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003888,2026-06-09
VULN-003938,CVE-2024-4938,APP038,Application-038,ASSET-003938,host-003938.corp.local,10.15.246.98,windows,VM,False,Low,Open,True,False,False,owner18@example.com,sysadmin8@example.com,Engineering,Development,eu-west-1,2025-07-28,2025-08-12,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-003938,2026-06-04
VULN-003988,CVE-2024-4988,APP038,Application-038,ASSET-003988,host-003988.corp.local,10.15.249.148,aix,Physical,False,High,Remediated,True,False,False,owner8@example.com,sysadmin8@example.com,Retail,Staging,eu-west-1,2025-08-26,2025-10-09,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-003988,2026-06-07
VULN-004038,CVE-2024-5038,APP038,Application-038,ASSET-004038,host-004038.corp.local,10.15.252.198,linux,Physical,True,Medium,Accepted Risk,True,False,True,owner18@example.com,sysadmin8@example.com,Finance,Development,us-east-1,2025-12-08,2026-01-05,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-004038,2026-06-12
VULN-004088,CVE-2024-5088,APP038,Application-038,ASSET-004088,host-004088.corp.local,10.15.255.248,solaris,VM,False,High,Open,True,False,False,owner8@example.com,sysadmin8@example.com,Finance,Development,ap-south-1,2026-03-31,2026-05-06,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-004088,2026-06-21
VULN-004138,CVE-2024-5138,APP038,Application-038,ASSET-004138,host-004138.corp.local,10.16.2.42,windows,Container,False,Medium,In Progress,True,True,False,owner18@example.com,sysadmin8@example.com,HR,Production,eu-west-1,2026-01-01,2026-01-09,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-004138,2026-06-04
VULN-004188,CVE-2024-5188,APP038,Application-038,ASSET-004188,host-004188.corp.local,10.16.5.92,linux,Physical,False,Critical,Remediated,True,False,False,owner8@example.com,sysadmin8@example.com,Marketing,Development,ap-south-1,2025-07-11,2025-08-03,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-004188,2026-06-05
VULN-004238,CVE-2024-5238,APP038,Application-038,ASSET-004238,host-004238.corp.local,10.16.8.142,windows,VM,False,Medium,Remediated,True,False,True,owner18@example.com,sysadmin8@example.com,Engineering,Staging,us-west-2,2026-02-23,2026-04-12,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-004238,2026-06-05
